tipo_de_api,tip_execucao,qtd_itens,tamanho_query,tempo_de_resposta,tamanho_body_resposta
rest,sequencial,20,24,1.3829,103493
rest,sequencial,40,24,1.668384,207283
rest,sequencial,60,24,2.156136,310012
rest,sequencial,80,24,2.387989,409725
rest,sequencial,100,25,3.125807,514141
rest,sequencial,20,44,1.224192,102666
rest,sequencial,40,44,1.774125,205828
rest,sequencial,60,44,2.300608,306105
rest,sequencial,80,44,3.35464,407735
rest,sequencial,100,45,3.453345,508819
rest,sequencial,20,55,1.292737,102666
rest,sequencial,40,55,1.706603,205828
rest,sequencial,60,55,2.767308,306105
rest,sequencial,80,55,2.655602,407735
rest,sequencial,100,56,2.708209,508819
rest,sequencial,20,64,1.336743,102666
rest,sequencial,40,64,1.854528,205828
rest,sequencial,60,64,1.960279,306105
rest,sequencial,80,64,2.762346,407735
rest,sequencial,100,65,3.894478,508819
graphql,sequencial,20,198,0.827312,2827
graphql,sequencial,40,198,1.235301,5675
graphql,sequencial,60,198,1.499299,8457
graphql,sequencial,80,198,1.454331,11069
graphql,sequencial,100,199,1.614806,13903
graphql,sequencial,20,218,0.721952,32
graphql,sequencial,40,218,0.589967,32
graphql,sequencial,60,218,0.733312,32
graphql,sequencial,80,218,0.724691,32
graphql,sequencial,100,219,0.526264,32
graphql,sequencial,20,229,0.554881,32
graphql,sequencial,40,229,0.801754,32
graphql,sequencial,60,229,0.635958,32
graphql,sequencial,80,229,0.533551,32
graphql,sequencial,100,230,0.65087,32
graphql,sequencial,20,238,0.59486,32
graphql,sequencial,40,238,0.587808,32
graphql,sequencial,60,238,0.589255,32
graphql,sequencial,80,238,0.824922,32
graphql,sequencial,100,239,0.512192,32
rest,paralelo,20,24,1.258477,103493
rest,paralelo,40,24,1.436121,207283
rest,paralelo,60,24,1.815397,310012
rest,paralelo,80,24,2.452976,409725
rest,paralelo,100,25,2.809899,514141
rest,paralelo,20,44,1.033643,102666
rest,paralelo,40,44,1.577585,205828
rest,paralelo,60,44,1.770678,306105
rest,paralelo,80,44,2.31478,407735
rest,paralelo,100,45,2.702399,508819
rest,paralelo,20,55,1.225909,102666
rest,paralelo,40,55,1.613371,205828
rest,paralelo,60,55,3.638266,306105
rest,paralelo,80,55,2.631869,407735
rest,paralelo,100,56,3.091681,508819
rest,paralelo,20,64,1.284714,102666
rest,paralelo,40,64,2.025568,205828
rest,paralelo,60,64,2.603925,306105
rest,paralelo,80,64,2.69047,407735
rest,paralelo,100,65,2.866115,508819
graphql,paralelo,20,198,1.144589,2827
graphql,paralelo,40,198,1.560272,5675
graphql,paralelo,60,198,1.731824,8437
graphql,paralelo,80,198,1.730814,11069
graphql,paralelo,100,199,1.874912,13903
graphql,paralelo,20,218,0.876638,32
graphql,paralelo,40,218,0.853744,32
graphql,paralelo,60,218,1.093568,32
graphql,paralelo,80,218,0.769164,32
graphql,paralelo,100,219,0.704702,32
graphql,paralelo,20,229,0.790309,32
graphql,paralelo,40,229,0.846945,32
graphql,paralelo,60,229,0.78598,32
graphql,paralelo,80,229,1.120414,32
graphql,paralelo,100,230,0.802094,32
graphql,paralelo,20,238,0.89968,32
graphql,paralelo,40,238,1.034428,32
graphql,paralelo,60,238,0.576622,32
graphql,paralelo,80,238,0.737497,32
graphql,paralelo,100,239,0.810977,32
rest,sequencial,20,24,1.035385,103493
rest,sequencial,40,24,1.506426,207283
rest,sequencial,60,24,2.200226,310012
rest,sequencial,80,24,2.474651,409725
rest,sequencial,100,25,3.552583,514141
rest,sequencial,20,44,1.376956,102666
rest,sequencial,40,44,1.429561,205828
rest,sequencial,60,44,2.331335,306105
rest,sequencial,80,44,2.426425,407735
rest,sequencial,100,45,2.512472,508819
rest,sequencial,20,55,1.080804,102666
rest,sequencial,40,55,1.709213,205828
rest,sequencial,60,55,2.048875,306105
rest,sequencial,80,55,2.206059,407735
rest,sequencial,100,56,2.713804,508819
rest,sequencial,20,64,2.16206,102666
rest,sequencial,40,64,1.588794,205828
rest,sequencial,60,64,2.691511,306105
rest,sequencial,80,64,2.43914,407735
rest,sequencial,100,65,2.841855,508819
graphql,sequencial,20,198,1.40447,2827
graphql,sequencial,40,198,1.303463,5675
graphql,sequencial,60,198,1.429749,8457
graphql,sequencial,80,198,1.56833,11069
graphql,sequencial,100,199,1.725337,13903
graphql,sequencial,20,218,0.837805,32
graphql,sequencial,40,218,0.55379,32
graphql,sequencial,60,218,0.572713,32
graphql,sequencial,80,218,0.663114,32
graphql,sequencial,100,219,0.591145,32
graphql,sequencial,20,229,0.587544,32
graphql,sequencial,40,229,0.579863,32
graphql,sequencial,60,229,0.602116,32
graphql,sequencial,80,229,0.579061,32
graphql,sequencial,100,230,0.535933,32
graphql,sequencial,20,238,0.510945,32
graphql,sequencial,40,238,0.598246,32
graphql,sequencial,60,238,0.573542,32
graphql,sequencial,80,238,0.590283,32
graphql,sequencial,100,239,0.523802,32
rest,paralelo,20,24,1.282867,103493
rest,paralelo,40,24,1.892342,207283
rest,paralelo,60,24,2.115716,310012
rest,paralelo,80,24,2.388919,409725
rest,paralelo,100,25,2.742089,514141
rest,paralelo,20,44,1.07816,102666
rest,paralelo,40,44,1.786268,205828
rest,paralelo,60,44,2.145282,306105
rest,paralelo,80,44,2.395686,407735
rest,paralelo,100,45,2.830155,508819
rest,paralelo,20,55,1.819761,102666
rest,paralelo,40,55,1.804274,205828
rest,paralelo,60,55,2.053916,306105
rest,paralelo,80,55,2.236634,407735
rest,paralelo,100,56,2.777717,508819
rest,paralelo,20,64,1.136582,102666
rest,paralelo,40,64,1.625476,205828
rest,paralelo,60,64,1.96542,306105
rest,paralelo,80,64,2.360531,407735
rest,paralelo,100,65,3.159215,508819
graphql,paralelo,20,198,1.138557,2827
graphql,paralelo,40,198,1.098776,5675
graphql,paralelo,60,198,1.483503,8457
graphql,paralelo,80,198,1.656391,11069
graphql,paralelo,100,199,2.043624,13903
graphql,paralelo,20,218,0.622003,32
graphql,paralelo,40,218,0.553536,32
graphql,paralelo,60,218,0.544877,32
graphql,paralelo,80,218,0.545923,32
graphql,paralelo,100,219,1.066165,32
graphql,paralelo,20,229,0.591635,32
graphql,paralelo,40,229,0.555616,32
graphql,paralelo,60,229,0.604666,32
graphql,paralelo,80,229,0.560542,32
graphql,paralelo,100,230,1.163815,32
graphql,paralelo,20,238,0.58464,32
graphql,paralelo,40,238,0.595381,32
graphql,paralelo,60,238,0.621382,32
graphql,paralelo,80,238,0.557971,32
graphql,paralelo,100,239,1.067108,32
rest,sequencial,20,24,1.052602,103493
rest,sequencial,40,24,1.445728,207283
rest,sequencial,60,24,1.808615,310012
rest,sequencial,80,24,3.425045,409725
rest,sequencial,100,25,2.847862,514141
rest,sequencial,20,44,1.021928,102666
rest,sequencial,40,44,1.434325,205828
rest,sequencial,60,44,1.797434,306105
rest,sequencial,80,44,2.925606,407735
rest,sequencial,100,45,3.035083,508819
rest,sequencial,20,55,1.115238,102666
rest,sequencial,40,55,1.584115,205828
rest,sequencial,60,55,2.120271,306105
rest,sequencial,80,55,2.351832,407735
rest,sequencial,100,56,2.779753,508819
rest,sequencial,20,64,1.021148,102666
rest,sequencial,40,64,1.510614,205828
rest,sequencial,60,64,1.807504,306105
rest,sequencial,80,64,2.562651,407735
rest,sequencial,100,65,2.851875,508819
graphql,sequencial,20,198,0.956577,2827
graphql,sequencial,40,198,1.199389,5675
graphql,sequencial,60,198,1.40022,8457
graphql,sequencial,80,198,1.69285,11069
graphql,sequencial,100,199,2.265089,13903
graphql,sequencial,20,218,0.559381,32
graphql,sequencial,40,218,0.948991,32
graphql,sequencial,60,218,0.652182,32
graphql,sequencial,80,218,0.609257,32
graphql,sequencial,100,219,0.642055,32
graphql,sequencial,20,229,0.59556,32
graphql,sequencial,40,229,1.29168,32
graphql,sequencial,60,229,1.098672,32
graphql,sequencial,80,229,0.588776,32
graphql,sequencial,100,230,0.613366,32
graphql,sequencial,20,238,0.58228,32
graphql,sequencial,40,238,0.734448,32
graphql,sequencial,60,238,0.767928,32
graphql,sequencial,80,238,1.060101,32
graphql,sequencial,100,239,0.559833,32
rest,paralelo,20,24,1.236378,103493
